Ref,Val,Package,PosX,PosY,Rot,Side
BT1,Battery,BV-452229-25ET,170.556100,-76.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,100.556100,-166.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,30.556100,-166.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,170.556100,-136.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,100.556100,-136.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,30.556100,-136.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,170.556100,-106.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,100.556100,-106.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,30.556100,-106.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,170.556100,-166.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,100.556100,-76.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,30.556100,-76.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,170.556100,-46.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,100.556100,-46.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,30.556100,-46.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,170.556100,-16.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,100.556100,-16.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,30.556100,-16.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,170.556100,-256.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,100.556100,-346.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,30.556100,-346.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,170.556100,-316.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,100.556100,-316.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,30.556100,-316.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,170.556100,-286.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,100.556100,-286.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,30.556100,-286.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,170.556100,-346.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,100.556100,-256.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,30.556100,-256.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,170.556100,-226.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,100.556100,-226.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,30.556100,-226.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,170.556100,-196.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,100.556100,-196.588600,180.000000,bottom
BT1,Battery,BV-452229-25ET,30.556100,-196.588600,180.000000,bottom
